Date,Open,High,Low,Close,Volume,Market Cap
2020-09-07,10170.03555,10339.13787,9998.060703,10257.22974,56682146859.0,188000000000.0
2020-09-08,10248.394,10392.07319,9896.301801,10356.44438,41532337191.0,188000000000.0
2020-09-09,10373.81967,10397.84253,9893.738058,10112.20637,40939773952.0,188000000000.0
2020-09-10,10116.66556,10335.32472,9983.509539,10214.15437,37822798641.0,188000000000.0
2020-09-11,10222.60712,10464.14079,10222.60712,10334.63865,32645377052.0,191000000000.0
2020-09-12,10336.83248,10386.96006,10215.87187,10374.77815,32078835060.0,190000000000.0
2020-09-13,10385.22962,10476.9701,10275.98711,10438.37739,27091848643.0,192000000000.0
2020-09-14,10441.28802,10558.52097,10218.63689,10315.66641,28367164217.0,192000000000.0
2020-09-15,10327.098,10737.48359,10252.7029,10665.11372,31933742977.0,194000000000.0
2020-09-16,10671.46223,10926.45873,10637.48773,10782.9998,36621455088.0,199000000000.0
2020-09-17,10782.04128,11079.28996,10675.81759,10946.92123,38086295936.0,201000000000.0
2020-09-18,10943.45099,11036.74464,10767.36196,10934.41967,38373393891.0,201000000000.0
2020-09-19,10939.78468,11018.74396,10821.36723,10916.97092,33299227980.0,202000000000.0
2020-09-20,10933.95257,11139.96595,10892.86924,11076.85089,29847423554.0,204000000000.0
2020-09-21,11083.42857,11083.42857,10779.61933,10914.68741,27984393948.0,202000000000.0
2020-09-22,10920.98771,10982.25948,10349.49248,10427.87773,32049045620.0,198000000000.0
2020-09-23,10415.09966,10557.44493,10365.73469,10531.35154,31760586511.0,194000000000.0
2020-09-24,10529.27889,10530.33233,10180.50587,10231.05131,24341912906.0,193000000000.0
2020-09-25,10233.35355,10763.75373,10219.33396,10731.5324,28632863995.0,193000000000.0
2020-09-26,10734.53611,10747.70807,10567.23731,10683.39523,27637879181.0,197000000000.0
2020-09-27,10685.94518,10769.90733,10653.13178,10739.74258,22140813156.0,198000000000.0
2020-09-28,10729.81996,10794.71235,10620.55817,10766.52245,19197868192.0,198000000000.0
2020-09-29,10774.25437,10937.0078,10699.63372,10702.47283,22685381480.0,201000000000.0
2020-09-30,10692.3523,10855.71614,10652.23613,10839.96268,23902695207.0,199000000000.0
2020-10-01,10840.60047,10843.68933,10668.73516,10766.81409,22225613190.0,199000000000.0
2020-10-02,10777.14188,10903.28751,10472.41539,10614.30333,23740107473.0,199000000000.0
2020-10-03,10621.70759,10662.01398,10413.94089,10566.49438,28608315280.0,195000000000.0
2020-10-04,10570.3669,10593.70297,10501.48614,10541.32189,20391901420.0,195000000000.0
2020-10-05,10542.05843,10684.271,10524.73128,10665.69855,15472962157.0,196000000000.0
2020-10-06,10667.05755,10784.67082,10629.99514,10784.67082,18073068401.0,198000000000.0
2020-10-07,10788.03209,10792.26038,10536.77639,10604.44685,19914334722.0,198000000000.0
2020-10-08,10602.399,10679.0279,10567.96546,10665.25226,20562068865.0,197000000000.0
2020-10-09,10670.21554,10931.02328,10554.5503,10898.55184,18775481111.0,199000000000.0
2020-10-10,10920.19899,11101.81568,10841.66081,11066.19087,23417400426.0,203000000000.0
2020-10-11,11050.67589,11463.74364,11050.67589,11294.99419,23905936789.0,210000000000.0
2020-10-12,11294.71293,11429.45134,11279.86258,11376.43511,18400993817.0,210000000000.0
2020-10-13,11369.01005,11696.4827,11245.10689,11544.13764,21028934723.0,212000000000.0
